"1","MIRUMO / LEGGINGS",NULL,NULL,"#ffffff","0",NULL,"1","2020-07-08 00:00:00","2020-07-22 10:39:21","2020-07-22 10:39:21"
"2","MIRUMO / DIET",NULL,NULL,"#ffffff","0",NULL,"1","2020-07-09 00:00:00","2020-07-22 10:39:23","2020-07-22 10:39:23"
"3","test",NULL,"テスト","#ffffff","0",NULL,"0","2020-07-15 17:55:56","2020-07-15 17:59:20","2020-07-15 17:59:20"
"4","test",NULL,"テスト2","#ffffff","0",NULL,"0","2020-07-15 18:20:54","2020-07-15 18:21:04","2020-07-15 18:21:04"
"5","CRP_1_ADA",NULL,NULL,"#ffffff","0",NULL,"1","2020-07-22 10:37:37","2020-08-17 16:36:35","2020-08-17 16:36:35"
"6","CRP_1",NULL,NULL,"#ffffff","0",NULL,"1","2020-07-22 10:39:09","2020-08-17 16:36:32","2020-08-17 16:36:32"
"7","TEST","mghewysf9eq1",NULL,"#ffffff","99",NULL,"0","2020-08-05 12:30:53","2020-09-02 12:40:14",NULL
"8","mirumo / NIGHTBRA","mghetvxj5cq6",NULL,"#cc387b","27",NULL,"1","2020-08-05 12:31:10","2020-12-03 16:52:06",NULL
"9","mirumo / LEGGINGS","mghetth1laj7",NULL,"#cc387b","21","381-764-4078","1","2020-08-05 12:31:19","2020-09-25 15:39:22",NULL
"10","mirumo / GIRDLE","mghetr63o4lx",NULL,"#cc387b","24",NULL,"1","2020-08-05 12:31:29","2020-12-03 16:49:51",NULL
"11","RAIJIN / ENERGIZER","mghetnkwp616",NULL,"#0e8b12","13",NULL,"1","2020-08-05 12:31:37","2020-09-04 19:19:28",NULL
"12","RAIJIN / DIET","mghetmc2g1m8",NULL,"#0e8b12","11",NULL,"1","2020-08-05 12:31:46","2020-09-25 15:21:29",NULL
"13","CRP / 成長サプリ","mghetgzrqtei",NULL,"#0e8b12","13",NULL,"1","2020-08-05 12:31:55","2020-09-03 12:51:47",NULL
"14","CRP / BOAT","mghetesnj3sn",NULL,"#602e2e","34",NULL,"1","2020-08-05 12:32:05","2020-10-21 16:13:38",NULL
"15","CRP / 増大サプリ ( 商標 )","mghetcue1cl6",NULL,"#0e8b12","18",NULL,"1","2020-08-05 12:32:14","2020-11-12 17:07:30",NULL
"16","CRP / 男性サプリ ( 商標 )","mghetbapmnbh",NULL,"#0e8b12","17",NULL,"1","2020-08-05 12:32:23","2020-11-12 17:07:25",NULL
"17","CRP / 男性サプリ","mgheta77gvn7",NULL,"#0e8b12","12",NULL,"1","2020-08-05 12:32:35","2020-09-04 19:19:19",NULL
